File name (suggested),Style,Type,Location,File name
review-rick-and-morty-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",morty7
review-avatar-the-last-airbender-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",avatar1
review-avatar-the-last-airbender-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",avatar3
review-arcane-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",arcane5
review-arcane-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",arcane6
review-naruto-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",naruto8
review-naruto-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",naruto9
review-simpsons-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",simpson4
review-simpsons-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",simpson10
review-pokemon-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",pokemon7
review-pokemon-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",pokemon10
review-ghibli-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",ghibli7
review-ghibli-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",ghibli8
review-rick-and-morty-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",morty4
review-rick-and-morty-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",morty9
review-one-piece-extra-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",onepiece9
review-one-piece-extra-04.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",onepiece10
arcane-before.jpg,Arcane,Before (customer photo),Product page slider + style card — one before/after pair per style,60
arcane-after.jpg,Arcane,After (finished portrait),Product page slider + style card — one before/after pair per style,arcane4
arcane-example-1.jpg,Arcane,After (finished portrait),Product page thumbnail row — finished artwork only,arcane2
arcane-example-2.jpg,Arcane,After (finished portrait),Product page thumbnail row — finished artwork only,arcane3
arcane-example-3.jpg,Arcane,After (finished portrait),Product page thumbnail row — finished artwork only,arcane1
gallery-attack-on-titan.jpg,Attack on Titan,After (finished portrait),Homepage gallery masonry — can reuse attack-on-titan-after.jpg,titan4
attack-on-titan-before.jpg,Attack on Titan,Before (customer photo),Product page slider + style card — one before/after pair per style,24
attack-on-titan-after.jpg,Attack on Titan,After (finished portrait),Product page slider + style card — one before/after pair per style,titan7
attack-on-titan-example-1.jpg,Attack on Titan,After (finished portrait),Product page thumbnail row — finished artwork only,titan3
attack-on-titan-example-2.jpg,Attack on Titan,After (finished portrait),Product page thumbnail row — finished artwork only,titan5
attack-on-titan-example-3.jpg,Attack on Titan,After (finished portrait),Product page thumbnail row — finished artwork only,titan1
avatar-the-last-airbender-before.jpg,Avatar,Before (customer photo),Product page slider + style card — one before/after pair per style,25
avatar-the-last-airbender-after.jpg,Avatar,After (finished portrait),Product page slider + style card — one before/after pair per style,avatar6
avatar-the-last-airbender-example-1.jpg,Avatar,After (finished portrait),Product page thumbnail row — finished artwork only,avatar2
avatar-the-last-airbender-example-2.jpg,Avatar,After (finished portrait),Product page thumbnail row — finished artwork only,avatar4
avatar-the-last-airbender-example-3.jpg,Avatar,After (finished portrait),Product page thumbnail row — finished artwork only,avatar5
gallery-bleach.jpg,Bleach,After (finished portrait),Homepage gallery masonry — can reuse bleach-after.jpg,bleach5
bleach-before.jpg,Bleach,Before (customer photo),Product page slider + style card — one before/after pair per style,26
bleach-after.jpg,Bleach,After (finished portrait),Product page slider + style card — one before/after pair per style,bleach7
bleach-example-1.jpg,Bleach,After (finished portrait),Product page thumbnail row — finished artwork only,bleach3
bleach-example-2.jpg,Bleach,After (finished portrait),Product page thumbnail row — finished artwork only,bleach6
bleach-example-3.jpg,Bleach,After (finished portrait),Product page thumbnail row — finished artwork only,bleach1
bobs-burgers-before.jpg,Bob's Burgers,Before (customer photo),Product page slider + style card — one before/after pair per style,29
bobs-burgers-after.jpg,Bob's Burgers,After (finished portrait),Product page slider + style card — one before/after pair per style,bob2
bobs-burgers-example-1.jpg,Bob's Burgers,After (finished portrait),Product page thumbnail row — finished artwork only,bob5
bobs-burgers-example-2.jpg,Bob's Burgers,After (finished portrait),Product page thumbnail row — finished artwork only,bob3
bobs-burgers-example-3.jpg,Bob's Burgers,After (finished portrait),Product page thumbnail row — finished artwork only,bob4
gallery-death-note.jpg,Death Note,After (finished portrait),Homepage gallery masonry — can reuse death-note-after.jpg,note5
death-note-before.jpg,Death Note,Before (customer photo),Product page slider + style card — one before/after pair per style,6
death-note-after.jpg,Death Note,After (finished portrait),Product page slider + style card — one before/after pair per style,note7
death-note-example-1.jpg,Death Note,After (finished portrait),Product page thumbnail row — finished artwork only,note6
death-note-example-2.jpg,Death Note,After (finished portrait),Product page thumbnail row — finished artwork only,note1
death-note-example-3.jpg,Death Note,After (finished portrait),Product page thumbnail row — finished artwork only,note4
gallery-demon-slayer.jpg,Demon Slayer,After (finished portrait),Homepage gallery masonry — can reuse demon-slayer-after.jpg,demonslayer4
demon-slayer-before.jpg,Demon Slayer,Before (customer photo),Product page slider + style card — one before/after pair per style,31
demon-slayer-after.jpg,Demon Slayer,After (finished portrait),Product page slider + style card — one before/after pair per style,demonslayer6
demon-slayer-example-1.jpg,Demon Slayer,After (finished portrait),Product page thumbnail row — finished artwork only,demonslayer1
demon-slayer-example-2.jpg,Demon Slayer,After (finished portrait),Product page thumbnail row — finished artwork only,demonslayer2
demon-slayer-example-3.jpg,Demon Slayer,After (finished portrait),Product page thumbnail row — finished artwork only,demonslayer5
gallery-dragon-ball-z.jpg,Dragon Ball Z,After (finished portrait),Homepage gallery masonry — can reuse dragon-ball-z-after.jpg,dragonball7
dragon-ball-z-before.jpg,Dragon Ball Z,Before (customer photo),Product page slider + style card — one before/after pair per style,45
dragon-ball-z-after.jpg,Dragon Ball Z,After (finished portrait),Product page slider + style card — one before/after pair per style,dragonball2
dragon-ball-z-example-1.jpg,Dragon Ball Z,After (finished portrait),Product page thumbnail row — finished artwork only,dragonball4
dragon-ball-z-example-2.jpg,Dragon Ball Z,After (finished portrait),Product page thumbnail row — finished artwork only,dragonball5
dragon-ball-z-example-3.jpg,Dragon Ball Z,After (finished portrait),Product page thumbnail row — finished artwork only,dragonball3
family-guy-before.jpg,Family Guy,Before (customer photo),Product page slider + style card — one before/after pair per style,54
family-guy-after.jpg,Family Guy,After (finished portrait),Product page slider + style card — one before/after pair per style,guy3
family-guy-example-1.jpg,Family Guy,After (finished portrait),Product page thumbnail row — finished artwork only,guy1
family-guy-example-2.jpg,Family Guy,After (finished portrait),Product page thumbnail row — finished artwork only,guy6
family-guy-example-3.jpg,Family Guy,After (finished portrait),Product page thumbnail row — finished artwork only,guy2
gallery-ghibli-style.jpg,Ghibli Style,After (finished portrait),Homepage gallery masonry — can reuse ghibli-style-after.jpg,ghibli5
ghibli-style-before.jpg,Ghibli Style,Before (customer photo),Product page slider + style card — one before/after pair per style,9
ghibli-style-after.jpg,Ghibli Style,After (finished portrait),Product page slider + style card — one before/after pair per style,ghibli9
ghibli-style-example-1.jpg,Ghibli Style,After (finished portrait),Product page thumbnail row — finished artwork only,ghibli1
ghibli-style-example-2.jpg,Ghibli Style,After (finished portrait),Product page thumbnail row — finished artwork only,ghibli2
ghibli-style-example-3.jpg,Ghibli Style,After (finished portrait),Product page thumbnail row — finished artwork only,ghibli6
gallery-hunter-x-hunter.jpg,Hunter x Hunter,After (finished portrait),Homepage gallery masonry — can reuse hunter-x-hunter-after.jpg,hunter4
hunter-x-hunter-before.jpg,Hunter x Hunter,Before (customer photo),Product page slider + style card — one before/after pair per style,11
hunter-x-hunter-after.jpg,Hunter x Hunter,After (finished portrait),Product page slider + style card — one before/after pair per style,hunter1
hunter-x-hunter-example-1.jpg,Hunter x Hunter,After (finished portrait),Product page thumbnail row — finished artwork only,hunter5
hunter-x-hunter-example-2.jpg,Hunter x Hunter,After (finished portrait),Product page thumbnail row — finished artwork only,hunter4
hunter-x-hunter-example-3.jpg,Hunter x Hunter,After (finished portrait),Product page thumbnail row — finished artwork only,hunter3
gallery-jujutsu-kaisen.jpg,Jujutsu Kaisen,After (finished portrait),Homepage gallery masonry — can reuse jujutsu-kaisen-after.jpg,jujutsu3
jujutsu-kaisen-before.jpg,Jujutsu Kaisen,Before (customer photo),Product page slider + style card — one before/after pair per style,15
jujutsu-kaisen-after.jpg,Jujutsu Kaisen,After (finished portrait),Product page slider + style card — one before/after pair per style,jujutsu7
jujutsu-kaisen-example-1.jpg,Jujutsu Kaisen,After (finished portrait),Product page thumbnail row — finished artwork only,jujutsu6
jujutsu-kaisen-example-2.jpg,Jujutsu Kaisen,After (finished portrait),Product page thumbnail row — finished artwork only,jujutsu4
jujutsu-kaisen-example-3.jpg,Jujutsu Kaisen,After (finished portrait),Product page thumbnail row — finished artwork only,jujutsu1
gallery-my-hero-academia.jpg,My Hero Academia,After (finished portrait),Homepage gallery masonry — can reuse my-hero-academia-after.jpg,academia4
my-hero-academia-before.jpg,My Hero Academia,Before (customer photo),Product page slider + style card — one before/after pair per style,18
my-hero-academia-after.jpg,My Hero Academia,After (finished portrait),Product page slider + style card — one before/after pair per style,academia5
my-hero-academia-example-1.jpg,My Hero Academia,After (finished portrait),Product page thumbnail row — finished artwork only,academia6
my-hero-academia-example-2.jpg,My Hero Academia,After (finished portrait),Product page thumbnail row — finished artwork only,academia4
my-hero-academia-example-3.jpg,My Hero Academia,After (finished portrait),Product page thumbnail row — finished artwork only,academia1
hero-naruto.jpg,Naruto,After (finished portrait),Homepage hero tile,naruto3
gallery-naruto.jpg,Naruto,After (finished portrait),Homepage gallery masonry — can reuse naruto-after.jpg,naruto1
naruto-before.jpg,Naruto,Before (customer photo),Product page slider + style card — one before/after pair per style,93
naruto-after.jpg,Naruto,After (finished portrait),Product page slider + style card — one before/after pair per style,93_after
naruto-example-1.jpg,Naruto,After (finished portrait),Product page thumbnail row — finished artwork only,naruto6
naruto-example-2.jpg,Naruto,After (finished portrait),Product page thumbnail row — finished artwork only,naruto5
naruto-example-3.jpg,Naruto,After (finished portrait),Product page thumbnail row — finished artwork only,naruto4
hero-one-piece.jpg,One Piece,After (finished portrait),Homepage hero tile,onepiece2
gallery-one-piece.jpg,One Piece,After (finished portrait),Homepage gallery masonry — can reuse one-piece-after.jpg,onepiece3
one-piece-before.jpg,One Piece,Before (customer photo),Product page slider + style card — one before/after pair per style,67
one-piece-after.jpg,One Piece,After (finished portrait),Product page slider + style card — one before/after pair per style,onepiece1
one-piece-example-1.jpg,One Piece,After (finished portrait),Product page thumbnail row — finished artwork only,onepiece4
one-piece-example-2.jpg,One Piece,After (finished portrait),Product page thumbnail row — finished artwork only,onepiece5
one-piece-example-3.jpg,One Piece,After (finished portrait),Product page thumbnail row — finished artwork only,onepiece8
one-punch-man-before.jpg,One Punch Man,Before (customer photo),Product page slider + style card — one before/after pair per style,56
one-punch-man-after.jpg,One Punch Man,After (finished portrait),Product page slider + style card — one before/after pair per style,punch1
one-punch-man-example-1.jpg,One Punch Man,After (finished portrait),Product page thumbnail row — finished artwork only,punch4
one-punch-man-example-2.jpg,One Punch Man,After (finished portrait),Product page thumbnail row — finished artwork only,punch5
one-punch-man-example-3.jpg,One Punch Man,After (finished portrait),Product page thumbnail row — finished artwork only,punch2
gallery-pokemon.jpg,Pokemon,After (finished portrait),Homepage gallery masonry — can reuse pokemon-after.jpg,pokemon9
pokemon-before.jpg,Pokemon,Before (customer photo),Product page slider + style card — one before/after pair per style,55
pokemon-after.jpg,Pokemon,After (finished portrait),Product page slider + style card — one before/after pair per style,pokemon6
pokemon-example-1.jpg,Pokemon,After (finished portrait),Product page thumbnail row — finished artwork only,pokemon4
pokemon-example-2.jpg,Pokemon,After (finished portrait),Product page thumbnail row — finished artwork only,pokemon3
pokemon-example-3.jpg,Pokemon,After (finished portrait),Product page thumbnail row — finished artwork only,pokemon5
hero-rick-and-morty.jpg,Rick and Morty,After (finished portrait),Homepage hero tile,morty1
rick-and-morty-before.jpg,Rick and Morty,Before (customer photo),Product page slider + style card — one before/after pair per style,21
rick-and-morty-after.jpg,Rick and Morty,After (finished portrait),Product page slider + style card — one before/after pair per style,morty5
rick-and-morty-example-1.jpg,Rick and Morty,After (finished portrait),Product page thumbnail row — finished artwork only,morty6
rick-and-morty-example-2.jpg,Rick and Morty,After (finished portrait),Product page thumbnail row — finished artwork only,morty8
rick-and-morty-example-3.jpg,Rick and Morty,After (finished portrait),Product page thumbnail row — finished artwork only,morty2
sailor-moon-before.jpg,Sailor Moon,Before (customer photo),Product page slider + style card — one before/after pair per style,104
sailor-moon-after.jpg,Sailor Moon,After (finished portrait),Product page slider + style card — one before/after pair per style,moon1
sailor-moon-example-1.jpg,Sailor Moon,After (finished portrait),Product page thumbnail row — finished artwork only,moon5
sailor-moon-example-2.jpg,Sailor Moon,After (finished portrait),Product page thumbnail row — finished artwork only,moon6
sailor-moon-example-3.jpg,Sailor Moon,After (finished portrait),Product page thumbnail row — finished artwork only,moon2
solo-leveling-before.jpg,Solo Leveling,Before (customer photo),Product page slider + style card — one before/after pair per style,96
solo-leveling-after.jpg,Solo Leveling,After (finished portrait),Product page slider + style card — one before/after pair per style,solo1
solo-leveling-example-1.jpg,Solo Leveling,After (finished portrait),Product page thumbnail row — finished artwork only,solo2
solo-leveling-example-2.jpg,Solo Leveling,After (finished portrait),Product page thumbnail row — finished artwork only,solo5
solo-leveling-example-3.jpg,Solo Leveling,After (finished portrait),Product page thumbnail row — finished artwork only,solo4
south-park-before.jpg,South Park,Before (customer photo),Product page slider + style card — one before/after pair per style,97
south-park-after.jpg,South Park,After (finished portrait),Product page slider + style card — one before/after pair per style,park4
south-park-example-1.jpg,South Park,After (finished portrait),Product page thumbnail row — finished artwork only,park2
south-park-example-2.jpg,South Park,After (finished portrait),Product page thumbnail row — finished artwork only,park3
south-park-example-3.jpg,South Park,After (finished portrait),Product page thumbnail row — finished artwork only,park6
gallery-spy-x-family.jpg,Spy x Family,After (finished portrait),Homepage gallery masonry — can reuse spy-x-family-after.jpg,spy6
spy-x-family-before.jpg,Spy x Family,Before (customer photo),Product page slider + style card — one before/after pair per style,95
spy-x-family-after.jpg,Spy x Family,After (finished portrait),Product page slider + style card — one before/after pair per style,spy1
spy-x-family-example-1.jpg,Spy x Family,After (finished portrait),Product page thumbnail row — finished artwork only,spy6
spy-x-family-example-2.jpg,Spy x Family,After (finished portrait),Product page thumbnail row — finished artwork only,spy4
spy-x-family-example-3.jpg,Spy x Family,After (finished portrait),Product page thumbnail row — finished artwork only,spy3
hero-the-simpsons.jpg,The Simpsons,After (finished portrait),Homepage hero tile,simpson9
the-simpsons-before.jpg,The Simpsons,Before (customer photo),Product page slider + style card — one before/after pair per style,94
the-simpsons-after.jpg,The Simpsons,After (finished portrait),Product page slider + style card — one before/after pair per style,simpson7
the-simpsons-example-1.jpg,The Simpsons,After (finished portrait),Product page thumbnail row — finished artwork only,simpson6
the-simpsons-example-2.jpg,The Simpsons,After (finished portrait),Product page thumbnail row — finished artwork only,simpson8
the-simpsons-example-3.jpg,The Simpsons,After (finished portrait),Product page thumbnail row — finished artwork only,simpson1
gallery-one-piece-wanted-poster.jpg,Wanted Poster,After (finished portrait),Homepage gallery masonry — can reuse one-piece-wanted-poster-after.jpg,onepiece11
one-piece-wanted-poster-before.jpg,Wanted Poster,Before (customer photo),Product page slider + style card — one before/after pair per style,37
one-piece-wanted-poster-after.jpg,Wanted Poster,After (finished portrait),Product page slider + style card — one before/after pair per style,wanted1
one-piece-wanted-poster-example-1.jpg,Wanted Poster,After (finished portrait),Product page thumbnail row — finished artwork only,wanted2
one-piece-wanted-poster-example-2.jpg,Wanted Poster,After (finished portrait),Product page thumbnail row — finished artwork only,wanted4
one-piece-wanted-poster-example-3.jpg,Wanted Poster,After (finished portrait),Product page thumbnail row — finished artwork only,wanted6
