"File name (suggested)","Style","Type","Location"
"death-note-example-1-before.jpg","Death Note","Before","Product page thumbnails"
"death-note-example-1-after.jpg","Death Note","After","Product page thumbnails"
"death-note-example-2-before.jpg","Death Note","Before","Product page thumbnails"
"death-note-example-2-after.jpg","Death Note","After","Product page thumbnails"
"death-note-example-3-before.jpg","Death Note","Before","Product page thumbnails"
"death-note-example-3-after.jpg","Death Note","After","Product page thumbnails"
"hunter-x-hunter-primary-before.jpg","Hunter x Hunter","Before","Product page slider + style card"
"hunter-x-hunter-primary-after.jpg","Hunter x Hunter","After","Product page slider + style card"
"hunter-x-hunter-example-1-before.jpg","Hunter x Hunter","Before","Product page thumbnails"
"hunter-x-hunter-example-1-after.jpg","Hunter x Hunter","After","Product page thumbnails"
"hunter-x-hunter-example-2-before.jpg","Hunter x Hunter","Before","Product page thumbnails"
"hunter-x-hunter-example-2-after.jpg","Hunter x Hunter","After","Product page thumbnails"
"hunter-x-hunter-example-3-before.jpg","Hunter x Hunter","Before","Product page thumbnails"
"hunter-x-hunter-example-3-after.jpg","Hunter x Hunter","After","Product page thumbnails"
"chainsaw-man-primary-before.jpg","Chainsaw Man","Before","Product page slider + style card"
"chainsaw-man-primary-after.jpg","Chainsaw Man","After","Product page slider + style card"
"chainsaw-man-example-1-before.jpg","Chainsaw Man","Before","Product page thumbnails"
"chainsaw-man-example-1-after.jpg","Chainsaw Man","After","Product page thumbnails"
"chainsaw-man-example-2-before.jpg","Chainsaw Man","Before","Product page thumbnails"
"chainsaw-man-example-2-after.jpg","Chainsaw Man","After","Product page thumbnails"
"chainsaw-man-example-3-before.jpg","Chainsaw Man","Before","Product page thumbnails"
"chainsaw-man-example-3-after.jpg","Chainsaw Man","After","Product page thumbnails"
"spy-x-family-primary-before.jpg","Spy x Family","Before","Product page slider + style card"
"spy-x-family-primary-after.jpg","Spy x Family","After","Product page slider + style card"
"spy-x-family-example-1-before.jpg","Spy x Family","Before","Product page thumbnails"
"spy-x-family-example-1-after.jpg","Spy x Family","After","Product page thumbnails"
"spy-x-family-example-2-before.jpg","Spy x Family","Before","Product page thumbnails"
"spy-x-family-example-2-after.jpg","Spy x Family","After","Product page thumbnails"
"spy-x-family-example-3-before.jpg","Spy x Family","Before","Product page thumbnails"
"spy-x-family-example-3-after.jpg","Spy x Family","After","Product page thumbnails"
"sailor-moon-primary-before.jpg","Sailor Moon","Before","Product page slider + style card"
"sailor-moon-primary-after.jpg","Sailor Moon","After","Product page slider + style card"
"sailor-moon-example-1-before.jpg","Sailor Moon","Before","Product page thumbnails"
"sailor-moon-example-1-after.jpg","Sailor Moon","After","Product page thumbnails"
"sailor-moon-example-2-before.jpg","Sailor Moon","Before","Product page thumbnails"
"sailor-moon-example-2-after.jpg","Sailor Moon","After","Product page thumbnails"
"sailor-moon-example-3-before.jpg","Sailor Moon","Before","Product page thumbnails"
"sailor-moon-example-3-after.jpg","Sailor Moon","After","Product page thumbnails"
"one-punch-man-primary-before.jpg","One Punch Man","Before","Product page slider + style card"
"one-punch-man-primary-after.jpg","One Punch Man","After","Product page slider + style card"
"one-punch-man-example-1-before.jpg","One Punch Man","Before","Product page thumbnails"
"one-punch-man-example-1-after.jpg","One Punch Man","After","Product page thumbnails"
"one-punch-man-example-2-before.jpg","One Punch Man","Before","Product page thumbnails"
"one-punch-man-example-2-after.jpg","One Punch Man","After","Product page thumbnails"
"one-punch-man-example-3-before.jpg","One Punch Man","Before","Product page thumbnails"
"one-punch-man-example-3-after.jpg","One Punch Man","After","Product page thumbnails"
"solo-leveling-primary-before.jpg","Solo Leveling","Before","Product page slider + style card"
"solo-leveling-primary-after.jpg","Solo Leveling","After","Product page slider + style card"
"solo-leveling-example-1-before.jpg","Solo Leveling","Before","Product page thumbnails"
"solo-leveling-example-1-after.jpg","Solo Leveling","After","Product page thumbnails"
"solo-leveling-example-2-before.jpg","Solo Leveling","Before","Product page thumbnails"
"solo-leveling-example-2-after.jpg","Solo Leveling","After","Product page thumbnails"
"solo-leveling-example-3-before.jpg","Solo Leveling","Before","Product page thumbnails"
"solo-leveling-example-3-after.jpg","Solo Leveling","After","Product page thumbnails"
"frieren-primary-before.jpg","Frieren","Before","Product page slider + style card"
"frieren-primary-after.jpg","Frieren","After","Product page slider + style card"
"frieren-example-1-before.jpg","Frieren","Before","Product page thumbnails"
"frieren-example-1-after.jpg","Frieren","After","Product page thumbnails"
"frieren-example-2-before.jpg","Frieren","Before","Product page thumbnails"
"frieren-example-2-after.jpg","Frieren","After","Product page thumbnails"
"frieren-example-3-before.jpg","Frieren","Before","Product page thumbnails"
"frieren-example-3-after.jpg","Frieren","After","Product page thumbnails"
"berserk-primary-before.jpg","Berserk","Before","Product page slider + style card"
"berserk-primary-after.jpg","Berserk","After","Product page slider + style card"
"berserk-example-1-before.jpg","Berserk","Before","Product page thumbnails"
"berserk-example-1-after.jpg","Berserk","After","Product page thumbnails"
"berserk-example-2-before.jpg","Berserk","Before","Product page thumbnails"
"berserk-example-2-after.jpg","Berserk","After","Product page thumbnails"
"berserk-example-3-before.jpg","Berserk","Before","Product page thumbnails"
"berserk-example-3-after.jpg","Berserk","After","Product page thumbnails"
"custom-anime-style-primary-before.jpg","Any Anime Style","Before","Product page slider + style card"
"custom-anime-style-primary-after.jpg","Any Anime Style","After","Product page slider + style card"
"custom-anime-style-example-1-before.jpg","Any Anime Style","Before","Product page thumbnails"
"custom-anime-style-example-1-after.jpg","Any Anime Style","After","Product page thumbnails"
"custom-anime-style-example-2-before.jpg","Any Anime Style","Before","Product page thumbnails"
"custom-anime-style-example-2-after.jpg","Any Anime Style","After","Product page thumbnails"
"custom-anime-style-example-3-before.jpg","Any Anime Style","Before","Product page thumbnails"
"custom-anime-style-example-3-after.jpg","Any Anime Style","After","Product page thumbnails"
"bobs-burgers-primary-before.jpg","Bob's Burgers","Before","Product page slider + style card"
"bobs-burgers-primary-after.jpg","Bob's Burgers","After","Product page slider + style card"
"bobs-burgers-example-1-before.jpg","Bob's Burgers","Before","Product page thumbnails"
"bobs-burgers-example-1-after.jpg","Bob's Burgers","After","Product page thumbnails"
"bobs-burgers-example-2-before.jpg","Bob's Burgers","Before","Product page thumbnails"
"bobs-burgers-example-2-after.jpg","Bob's Burgers","After","Product page thumbnails"
"bobs-burgers-example-3-before.jpg","Bob's Burgers","Before","Product page thumbnails"
"bobs-burgers-example-3-after.jpg","Bob's Burgers","After","Product page thumbnails"
"family-guy-primary-before.jpg","Family Guy","Before","Product page slider + style card"
"family-guy-primary-after.jpg","Family Guy","After","Product page slider + style card"
"family-guy-example-1-before.jpg","Family Guy","Before","Product page thumbnails"
"family-guy-example-1-after.jpg","Family Guy","After","Product page thumbnails"
"family-guy-example-2-before.jpg","Family Guy","Before","Product page thumbnails"
"family-guy-example-2-after.jpg","Family Guy","After","Product page thumbnails"
"family-guy-example-3-before.jpg","Family Guy","Before","Product page thumbnails"
"family-guy-example-3-after.jpg","Family Guy","After","Product page thumbnails"
"american-dad-primary-before.jpg","American Dad","Before","Product page slider + style card"
"american-dad-primary-after.jpg","American Dad","After","Product page slider + style card"
"american-dad-example-1-before.jpg","American Dad","Before","Product page thumbnails"
"american-dad-example-1-after.jpg","American Dad","After","Product page thumbnails"
"american-dad-example-2-before.jpg","American Dad","Before","Product page thumbnails"
"american-dad-example-2-after.jpg","American Dad","After","Product page thumbnails"
"american-dad-example-3-before.jpg","American Dad","Before","Product page thumbnails"
"american-dad-example-3-after.jpg","American Dad","After","Product page thumbnails"
"the-simpsons-primary-before.jpg","The Simpsons","Before","Product page slider + style card"
"the-simpsons-primary-after.jpg","The Simpsons","After","Product page slider + style card"
"the-simpsons-example-1-before.jpg","The Simpsons","Before","Product page thumbnails"
"the-simpsons-example-1-after.jpg","The Simpsons","After","Product page thumbnails"
"the-simpsons-example-2-before.jpg","The Simpsons","Before","Product page thumbnails"
"the-simpsons-example-2-after.jpg","The Simpsons","After","Product page thumbnails"
"the-simpsons-example-3-before.jpg","The Simpsons","Before","Product page thumbnails"
"the-simpsons-example-3-after.jpg","The Simpsons","After","Product page thumbnails"
"south-park-primary-before.jpg","South Park","Before","Product page slider + style card"
"south-park-primary-after.jpg","South Park","After","Product page slider + style card"
"south-park-example-1-before.jpg","South Park","Before","Product page thumbnails"
"south-park-example-1-after.jpg","South Park","After","Product page thumbnails"
"south-park-example-2-before.jpg","South Park","Before","Product page thumbnails"
"south-park-example-2-after.jpg","South Park","After","Product page thumbnails"
"south-park-example-3-before.jpg","South Park","Before","Product page thumbnails"
"south-park-example-3-after.jpg","South Park","After","Product page thumbnails"
"rick-and-morty-primary-before.jpg","Rick and Morty","Before","Product page slider + style card"
"rick-and-morty-primary-after.jpg","Rick and Morty","After","Product page slider + style card"
"rick-and-morty-example-1-before.jpg","Rick and Morty","Before","Product page thumbnails"
"rick-and-morty-example-1-after.jpg","Rick and Morty","After","Product page thumbnails"
"rick-and-morty-example-2-before.jpg","Rick and Morty","Before","Product page thumbnails"
"rick-and-morty-example-2-after.jpg","Rick and Morty","After","Product page thumbnails"
"rick-and-morty-example-3-before.jpg","Rick and Morty","Before","Product page thumbnails"
"rick-and-morty-example-3-after.jpg","Rick and Morty","After","Product page thumbnails"
"futurama-primary-before.jpg","Futurama","Before","Product page slider + style card"
"futurama-primary-after.jpg","Futurama","After","Product page slider + style card"
"futurama-example-1-before.jpg","Futurama","Before","Product page thumbnails"
"futurama-example-1-after.jpg","Futurama","After","Product page thumbnails"
"futurama-example-2-before.jpg","Futurama","Before","Product page thumbnails"
"futurama-example-2-after.jpg","Futurama","After","Product page thumbnails"
"futurama-example-3-before.jpg","Futurama","Before","Product page thumbnails"
"futurama-example-3-after.jpg","Futurama","After","Product page thumbnails"
"avatar-the-last-airbender-primary-before.jpg","Avatar","Before","Product page slider + style card"
"avatar-the-last-airbender-primary-after.jpg","Avatar","After","Product page slider + style card"
"avatar-the-last-airbender-example-1-before.jpg","Avatar","Before","Product page thumbnails"
"avatar-the-last-airbender-example-1-after.jpg","Avatar","After","Product page thumbnails"
"avatar-the-last-airbender-example-2-before.jpg","Avatar","Before","Product page thumbnails"
"avatar-the-last-airbender-example-2-after.jpg","Avatar","After","Product page thumbnails"
"avatar-the-last-airbender-example-3-before.jpg","Avatar","Before","Product page thumbnails"
"avatar-the-last-airbender-example-3-after.jpg","Avatar","After","Product page thumbnails"
"adventure-time-primary-before.jpg","Adventure Time","Before","Product page slider + style card"
"adventure-time-primary-after.jpg","Adventure Time","After","Product page slider + style card"
"adventure-time-example-1-before.jpg","Adventure Time","Before","Product page thumbnails"
"adventure-time-example-1-after.jpg","Adventure Time","After","Product page thumbnails"
"adventure-time-example-2-before.jpg","Adventure Time","Before","Product page thumbnails"
"adventure-time-example-2-after.jpg","Adventure Time","After","Product page thumbnails"
"adventure-time-example-3-before.jpg","Adventure Time","Before","Product page thumbnails"
"adventure-time-example-3-after.jpg","Adventure Time","After","Product page thumbnails"
"arcane-primary-before.jpg","Arcane","Before","Product page slider + style card"
"arcane-primary-after.jpg","Arcane","After","Product page slider + style card"
"arcane-example-1-before.jpg","Arcane","Before","Product page thumbnails"
"arcane-example-1-after.jpg","Arcane","After","Product page thumbnails"
"arcane-example-2-before.jpg","Arcane","Before","Product page thumbnails"
"arcane-example-2-after.jpg","Arcane","After","Product page thumbnails"
"arcane-example-3-before.jpg","Arcane","Before","Product page thumbnails"
"arcane-example-3-after.jpg","Arcane","After","Product page thumbnails"
"review-naruto-01.jpg","Naruto","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-naruto-03.jpg","Naruto","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-naruto-extra-01.jpg","Naruto","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-naruto-extra-04.jpg","Naruto","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-01.jpg","One Piece","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-03.jpg","One Piece","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-extra-01.jpg","One Piece","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-extra-04.jpg","One Piece","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-wanted-poster-01.jpg","Wanted Poster","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-piece-wanted-poster-03.jpg","Wanted Poster","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-dragon-ball-z-01.jpg","Dragon Ball Z","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-dragon-ball-z-03.jpg","Dragon Ball Z","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-dbz-extra-01.jpg","Dragon Ball Z","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-dbz-extra-04.jpg","Dragon Ball Z","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-demon-slayer-01.jpg","Demon Slayer","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-demon-slayer-03.jpg","Demon Slayer","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-demon-slayer-extra-1.jpg","Demon Slayer","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-jujutsu-kaisen-01.jpg","Jujutsu Kaisen","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-jujutsu-kaisen-03.jpg","Jujutsu Kaisen","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-jujutsu-kaisen-extra-1.jpg","Jujutsu Kaisen","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-attack-on-titan-01.jpg","Attack on Titan","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-attack-on-titan-03.jpg","Attack on Titan","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-attack-on-titan-extra-1.jpg","Attack on Titan","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-ghibli-style-01.jpg","Ghibli Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-ghibli-style-03.jpg","Ghibli Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-ghibli-extra-01.jpg","Ghibli Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-ghibli-extra-04.jpg","Ghibli Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-01.jpg","Pokemon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-03.jpg","Pokemon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-extra-01.jpg","Pokemon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-extra-04.jpg","Pokemon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-trading-card-01.jpg","Trading Card","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-pokemon-trading-card-03.jpg","Trading Card","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-my-hero-academia-01.jpg","My Hero Academia","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-my-hero-academia-03.jpg","My Hero Academia","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-my-hero-academia-extra-1.jpg","My Hero Academia","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-bleach-01.jpg","Bleach","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-bleach-03.jpg","Bleach","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-death-note-01.jpg","Death Note","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-death-note-03.jpg","Death Note","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-hunter-x-hunter-01.jpg","Hunter x Hunter","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-hunter-x-hunter-03.jpg","Hunter x Hunter","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-chainsaw-man-01.jpg","Chainsaw Man","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-chainsaw-man-03.jpg","Chainsaw Man","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-spy-x-family-01.jpg","Spy x Family","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-spy-x-family-03.jpg","Spy x Family","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-spy-x-family-extra-1.jpg","Spy x Family","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-sailor-moon-01.jpg","Sailor Moon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-sailor-moon-03.jpg","Sailor Moon","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-punch-man-01.jpg","One Punch Man","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-one-punch-man-03.jpg","One Punch Man","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-solo-leveling-01.jpg","Solo Leveling","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-solo-leveling-03.jpg","Solo Leveling","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-solo-leveling-extra-1.jpg","Solo Leveling","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-frieren-01.jpg","Frieren","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-frieren-03.jpg","Frieren","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-berserk-01.jpg","Berserk","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-berserk-03.jpg","Berserk","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-custom-anime-style-01.jpg","Any Anime Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-custom-anime-style-03.jpg","Any Anime Style","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-bobs-burgers-01.jpg","Bob's Burgers","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-bobs-burgers-03.jpg","Bob's Burgers","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-bobs-burgers-extra-1.jpg","Bob's Burgers","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-family-guy-01.jpg","Family Guy","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-family-guy-03.jpg","Family Guy","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-american-dad-01.jpg","American Dad","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-american-dad-03.jpg","American Dad","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-the-simpsons-01.jpg","The Simpsons","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-the-simpsons-03.jpg","The Simpsons","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-simpsons-extra-01.jpg","The Simpsons","After (finished portrait)","Reviews — homepage, /reviews, product pages"
